desc;label
Mmmmm Mmmmmmmmmm...;dżem
Chałupy welcome to Bahama mama luz;wodecki
W czuprynie wierzby pierwszy siwy włos;wodecki
Na obcy ląd (na obcy ląd), nieznany ląd;wodecki
Może słońcu było wstyd, a noc głęboka jak bas;wodecki
Afryka dzika dawno odkryta;wodecki
Wino za kotarą,;wodecki
Jedynie nikt wolności ci nie sprzeda.;dżem
Co spotkać Cię może,;dżem
i że dobrze 2x było mi z nią;dżem
Pędzący tłum mija Cię, powietrzem jakbyś był.;dżem
Pozwalasz nam samotnieć?;wodecki
A o czym? O ptaszku, co zgubił trzy piórka;wodecki
Zaraz już zacznę - zacznę już za chwilę;wodecki
Nie słuchałem nigdy ojca,;dżem
Czemu usłyszałem dzwonek u moich drzwi;dżem
że nigdy już;dżem
I znów pada deszcz;wodecki
A pod ręką tę rzecz!;wodecki
czule z dala spoziera, miłości pragnąc twej,;wodecki
Basia, Basia, Basia, Basia, Basia, Basia, Baś...;wodecki
we włosach Twych, we włosach Twych;dżem
Bądź przyjacielem swym,;dżem
Będzie tak nie raz;wodecki
W daleki, piękny świat (w daleki świat);wodecki
Przydałby się z lamusa;wodecki
Boże mój, Boże, ratuj mnie!;dżem
I żyjcie w zgodzie,;dżem
Nauczyć się żyć;dżem
Afryka dzika dawno odkryta;wodecki
A ty śmiejesz się znów;dżem
Żyje się po to żeby jeździć;dżem
zimna tak jak sztylec lodu;dżem
odkupienie win,;wodecki
Przepłynąć rzeki wpław (przepłynąć wpław);wodecki
wciąż się gra;wodecki
Obłęd w moim sercu,;dżem
Ale tej cechy nikt w niej nie dostrzegał;wodecki
Tam żeglugi kres;wodecki
Staniecie w krzyżu dróg;wodecki
Mmmmm Mmmmmmmmmm...;dżem
raz przynajmniej na swą szansę;dżem
W najtkliwszym geście śle;wodecki
Nie wiem i nie chcę;dżem
(Dogłębnie);wodecki
Znów popłynęły nasze wspomnienia;dżem
Dziś już wielu śmieje się.;dżem
Zamienić chociaż kilka słów,;dżem
Myśli złych;dżem
Jutro odważę się ten pierwszy raz.;dżem
Do diabła ja bym wiedzieć chciał;wodecki
Suchych łez;wodecki
odkupienie win.;wodecki
Tak niewiele było trzeba,;dżem
A ty;dżem
Ciao, ciao, Bambino, twój czas już minął,;wodecki
Opadnie aby znów;wodecki
Mogły wracać do swych starych gniazd;wodecki
Życie swe zamienił w deliryczny sen;dżem
Cień czekał vis-a-vis.;wodecki
Duży Jaś i Małgosia mają już prawdziwy dom;wodecki
Deszcz zaczął lekko kropić znów.;dżem
Nigdy nie znają łez. Nie znają łez.;dżem
tylko coraz więcej goryczy niesie czas;dżem
Deszcz się posmuci nocą,;wodecki
Wychodzę z budki wolnym krokiem,;dżem
Siaba, Siaba, Siaba, Siaba, Siaba, Siaba, Sia...;wodecki
Może być najlepszą z Twoich chwil...;dżem
I uciec stąd, i uciec stąd;wodecki
Na nowo żyć...;dżem
Znam meritum sprawy,;wodecki
I tak jak przed rokiem cudowny był lipiec;wodecki
Jak staw pełen łez;wodecki
kto wie?;wodecki
Czasie, dlaczego mijasz;wodecki
Tutti colori del'arte carmelo!;wodecki
wspominam dawnych rytmów czas.;dżem
Nakręcą mnie!;dżem
I upiekli ptaki!;dżem
Zamiast ojca, matki skład przedmiotów masz.;dżem
bo czegoś nam, czegoś nam brak;dżem
Basia, Basia, Basia, popatrz, co dla ciebie mam.;wodecki
Kto popłynie gdzieś na dywanie;wodecki
Że wciąż pada deszcz;wodecki
Boże spraw, bym zobaczyć mógł jakiś znak;dżem
będzie stale nad czołem lśnić,;wodecki
Kupią Ci zabawkę, gdy egzamin zdasz.;dżem
Straszną balladę o pewnej dziewczynie;wodecki
Nigdy nie jest tak źle;wodecki
Strach miła wyjść do miasta;wodecki
O wiem, jak się bałaś.;dżem
Dobrze wiem o tym, lecz.;wodecki
bierze parasol i okulary;wodecki
Przecież - kocham;wodecki
Mogłem wszystko mieć, każdy dom, każdą furę;dżem
Żona zostawiła mnie;dżem
nie pytaj, proszę, czemu tak jest.;wodecki
Dookoła ludzi szum;dżem
Przed tobą długa droga;dżem
Skąd uciekłaś - nie wiem, w ten koszmarny dzień;dżem
kto z miejscowych nie zna kto,;dżem
Nad czym bolała nieraz Imogena.;wodecki
aby czuć życia smak.;wodecki
W zastaw dałem jedyne palto,;dżem
Zamarł tłum, serce strach przenika…;wodecki
Zarobiłem szmal i stałem się królem;dżem
Najlepszą z Twoich chwil;dżem
i wstanie dzień.;wodecki
Że drzemie we mnie zwierzę;wodecki
Gryzą palce bezsilni;wodecki
Horacy radził tak:;wodecki
W labiryncie ulic...;dżem
Kogo spotka sam Pan Bóg stary,;wodecki
Ten żar zdawał się bez końca być;dżem
płakaliśmy tuląc wspomnienie;dżem
Basia, Basia, Basia, popatrz, co dla ciebie mam.;wodecki
Przed tobą długa droga;dżem
Tam zawsze brak, tam zawsze brak,;dżem
Bo w maju tak mnie bierze,;wodecki
z niepotrzebnym snem;dżem
jednak ze swej listy nie skreślaj mnie,;dżem
Albo snem, jeśli tak chcesz;wodecki
kolorów, które można użyć;dżem
Nie wiem jak mam to zrobić, by mężczyzną się stać,;dżem
Może kiedyś da mi szansę, spróbować jeszcze raz,;dżem
Ta dziewczyna, którą miałem,;dżem
Płynie krew;wodecki
Basia, Basia, Basia, Basia, Basia, Basia, Baś...;wodecki
znów przerwę w życiorysie wam;dżem
Między czernią a bielą;wodecki
Chałupy welcome to sun of Yamaica blues;wodecki
Czasie, dlaczego odchodzisz;wodecki
I ukryć stara się to, co łka;wodecki
Za wszystkie lata wykrzyczę w twarz;dżem
Albo być, albo mieć;dżem
choćby znad Tybru - Bambino wróć!!!;wodecki
wspomnieniem drogim?;wodecki
Od trzech lat już jestem sam;dżem
Coś nie chce zabrzmieć ani rusz;wodecki
delikatnych, czystych tak;dżem
Albo być, albo mieć;dżem
Nie zaskoczy cię nic;wodecki
Miała w ramionach gdzieś półtora metra;wodecki
Zerwałem z tym, co przeszkadza mi wierzyć;dżem
i chociaż pragnę, nie uwierzę;dżem
Więc cóż, że już zmierzch;wodecki
W nas, w nas, w nas;dżem
Kupią Ci zabawkę, gdy egzamin zdasz.;dżem
Wszyscy go znali, wiedzieli o tym, że;dżem
zbudź się;wodecki
Na obcy ląd (na obcy ląd), nieznany ląd;wodecki
Kocham Cię, już wiem;dżem
Jak inni;dżem
Odtąd noc;dżem
To był najpiękniejszy sen;dżem
kiedy tak blisko obok siebie;dżem
A jutro niesie nadzieję i;dżem
Opatrunek z gipsu,;wodecki
gdy zobaczę, że;wodecki
Chwila, która trwa;dżem
Coraz bliżej brzeg;wodecki
Byłem tego świata marnym szczurem;dżem
Miałem dokąd iść;dżem
widziałem miłość i rozpacz;dżem
zastanów się;dżem
Pomnij, że piękne dziewczę w chwili tej;wodecki
By zapomnieć, że chcesz;wodecki
A wokół dziewczyny podobne do skrzypiec;wodecki
Ale pogubiłem się...;dżem
I wszyscy święci pomaszerują do nieba;wodecki
Ta magnezja, która zawsze we mnie lśni;wodecki
Cichy kąt.;dżem
Mała;dżem
Basia, Basia, Basia, popatrz, co dla ciebie mam.;wodecki
Los bywał mi łaskawy,;wodecki
Już wszystko;wodecki
Która, niestety, już od urodzenia;wodecki
Dlaczego uciekasz jak złodziej;wodecki
Każdy Kocha tak jak chce.;dżem
z całej siły go łap!;wodecki
No aby mieć!;dżem
Trochę piekła, trochę nieba;dżem
Po co nam deszcz? -;wodecki
Twa tęsknota już śpi;wodecki
Powiem Ci, na ciężkie czasy;wodecki
Nad morzem, tuż przy niej, podobnej altówce;wodecki
raz-dwa!;wodecki
może za krótko, nie wiem sam;dżem
Ach, uciec stąd, ach, uciec stąd;wodecki
No abym mógł przed siebie iść.;dżem
więcej zrobić nie mogę;dżem
chcę pogadać znów;dżem
Boże daj, daj mu dom, cichy kąt.;dżem
Tak to Twój ojciec pijany miotał przekleństw grad;dżem
Tobie też, tobie też;wodecki
Na co Tobie, na co Ci ten żal?;dżem
Basia, Basia, Basia, popatrz, co dla ciebie mam.;wodecki
By powiedzieć, że wiesz;wodecki
Odtąd noc, tu jest długi;dżem
Zawsze gdzieś spóźniony jestem...;dżem
A przy tym nas poganiasz?;wodecki
Ludzie podali sobie noże zamiast rąk;dżem
Włoski kolego, ja ciebie prego,;wodecki
La la la, la la la la la la la la...;wodecki
I coraz częściej w słotne dni;wodecki
Żeby umieć żyć;dżem
Żyj z całych sił;dżem
i spróbuj wejść na szczyt.;wodecki
Rajderów raj po życia kres;dżem
Ognia blask;wodecki
nasz zegar lewą nogą wstał;wodecki
Muszę mieć, muszę ją mieć.;dżem
Znajdź się, gdzie chcesz;wodecki
Będziesz słońcem -;wodecki
Będzie lepiej, gdy pójdę, nie chcę patrzyć jej w twarz,;dżem
I wiecznym cierpieniem;dżem
Muszę przecież wolnym być, abym mógł,;dżem
Opowieść jaki miałem być;wodecki
o.. zły sen;dżem
Bez znieczulenia;dżem
Goni nas;dżem
Odtąd wyłącznie już o zemście marzy;wodecki
wielkości gór,;wodecki
są jak poszum wiatru;dżem
pozostawiam tylko Tobie;dżem
Czasie, dlaczego odchodzisz;wodecki
Niech się stanie sen...;dżem
Jak kot miękko wyskoczyła;dżem
Szepcze do uszka...;wodecki
Czasie, dlaczego mijasz;wodecki
A chciałbym iść na piwo i do kina;dżem
czegoś żal...;dżem
Przed snem jeszcze bajkę do uszka, do uszka;wodecki
Nie mam wielu zalet i wielu wad;dżem
Dla nas przecież ten;dżem
Bo w maju tak mnie bierze,;wodecki
to nie jest grzech,;dżem
Na swej maszynie, dokąd mkniesz?;dżem
Rozmienić forsy nie ma gdzie,;dżem
A pod ręką tę rzecz.;wodecki
Mille violini suonati dal vento;wodecki
Znów się będą rozbierać;wodecki
świadkami byliśmy jak padło świata pół;dżem
Jeszcze dokoła echo Twych słów,;dżem
Na Pocztę Główną ledwo to doniosła;wodecki
To niespełniony sen;dżem
Człowieku co się z Tobą dzieje;dżem
Więc czartów spęd jest dzisiaj;wodecki
Nim się w nas poruszył lew;wodecki
La la la la la la la, la la la la la la la;wodecki
Wszystko to, czego chcesz...;dżem
Podobnych do skrzypiec lub też do altówek;wodecki
Włożyła głowę - zrobiła przesyłkę;wodecki
bujam się i broda rośnie mi;dżem
Jak na deszczu łza;dżem
pokój sobą nieść;dżem
I grzęźniemy w smudze cienia;wodecki
Strach ma tak wielkie oczy, wokół ciemno jest,;dżem
Śnieg jak młodej panny tren;wodecki
A Ty spaliłaś ciasto;wodecki
I to niezły zwierz!;wodecki
Kto mnie pozostawił tu;dżem
Magiczna droga 66;dżem
Z tego wszystkiego jeszcze bardziej zbrzydła;wodecki
Ulic mrok, place też;wodecki
Kto wie?;dżem
Amore mia - mijasz i ty...;wodecki
W codziennej żegludze;wodecki
Bo tylko ta cisza;dżem
(No wiesz, wiesz, wiesz, wiesz, wiesz);wodecki
niesie dziś całemu światu;wodecki
w prawdę i fałsz, zerwałem z tym;dżem
co łagodne, co pogodne, co ci w duszy gra!;wodecki
To w domu szlocha, to w domu szlocha.;dżem
Coraz bliżej brzeg;wodecki
Księżyc blado świeci,;wodecki
Mieć kogoś;wodecki
I tylko wyblakł ten nasz szyld;wodecki
Spłoszone słowa;wodecki
Chociaż puste mam kieszenie,;dżem
Że coś nie wyszło im;wodecki
A może on był właśnie;wodecki
Parę godzin z życia diabli wzięli mi;dżem
Ale ja już byłem tam;dżem
(No wiesz);wodecki
Bo nie mogła tego znieść;dżem
za wzór,;wodecki
Małe święto i mały bal - za grosz.;dżem
Chwytaj dzień,;wodecki
Dobranoc! niech cię serce pokojem zasili.;wodecki
Małżeńskie obowiązki,;wodecki
13-ty piątek, czarny kot;wodecki
Boże daj mu dom, mama jak z obrazka,;dżem
Ześle sen powolny nam jak pieśń bez słów;wodecki
Będziesz słońcem -;wodecki
Tam czarny chleb, tam czarny chleb,;dżem
jedno słowo, cichy szept;dżem
Zawsze chodziła ubrana na biało;wodecki
Każdy był wolny, wolny był każdy ptak.;dżem
Śmiejesz się znów;dżem
Wokoło ani żywej duszy,;dżem
Dobry sprzyja wiatr;wodecki
Kiedyś - nie jeden raz.;wodecki
Dobry sprzyja wiatr;wodecki
Co czeka gdzieś od lat (czeka gdzieś od lat);wodecki
A więc! Do boju! A więc! A więc! Aaa!;wodecki
Wybacz Boże, dotknij mnie dłonią swą..;dżem
Może się napiję jeszcze;dżem
Mam już tego dość, cholerny świat;dżem
Teraz jestem cieniem cienia;dżem
niewinna nie nie;dżem
Z lewy tyż dobrze znam.;wodecki
nie skreślaj mnie;dżem
Niech dźwięk zostanie jakiś cichy i uroczy,;wodecki
byłaś całkiem naga;dżem
Kombinuję co by tu;dżem
Goni nas;dżem
Nie da się;wodecki
Żona wręcz;dżem
Jestem sobą dzięki Tobie.;wodecki
Tak niewiele było trzeba;dżem
Miałem dokąd iść;dżem
Myślami często jestem przy niej;dżem
Ale pogubiłem się,choć tak blisko był mój cel;dżem
Tam, gdzie chcesz!;wodecki
A ludzie pędzą jakby świat za chwilę zniknąć miał.;dżem
zasługuje każdy z nas;dżem
W końcu się biedne dziewczę zakochało;wodecki
Chałupy welcome to sun of Yamaica blues;wodecki
La la la, la la la la la;wodecki
Cień czekał vis-a-vis.;wodecki
Ktoś czeka na twój znak;wodecki
Albo być, albo mieć;dżem
Na krótki spacer wyjdzie z psem,;dżem
Żadnej monety nie mam w niej,;dżem
Ja już nigdy się nie zmienię,;dżem
Wybierze nowy szlak;wodecki
Księżyc blado świeci,;wodecki
chyba wysoki chudy Murzyn,;dżem
jest twój.;wodecki
dziki płowy kot;dżem
Byłaś dobra zawsze dla mnie.;wodecki
Daj pierś mi ucałować. - Dobranoc! zapięta.;wodecki
Dobranoc, powtarzając, nie dałbym ci zasnąć.;wodecki
Chociaż puste mam kieszenie,;dżem
Bez niepotrzebnych niespełnienia;dżem
ciesz się chwilą i żyj!;wodecki
Śmiało, do boju, torero,;wodecki
Pod koniec dnia;dżem
Chałupy welcome to!;wodecki
Znów brzask;wodecki
Potem z tobą na trawę;dżem
Zaraz jak tylko spostrzegł co się święci;wodecki
nienapisany, jedyny wiersz;dżem
czuwa sama uśmiechnięta;wodecki
Wtedy las się rozanieli;wodecki
Chcę Ci coś opowiedzieć;dżem
Dla nas przecież te nieznaczące nic;dżem
głód i chłód obudziły mnie;dżem
Komu niebo, jak wielka czapa;wodecki
Poza tym trzeba dodać, że panienka;wodecki
Zostać tu czy nie;dżem
Ciężkie jest powietrze;dżem
przed siebie gna, swój ślad spienioną znacząc krwią.;wodecki
Może zostali gdzieś;wodecki
ojca matkę i rodziny smak,;dżem
W żegludze ku portom;wodecki
W pobliskim sklepie wyprosiła skrzynkę;wodecki
Mnie już to nie łechce,;wodecki
Przemijamy, przechodzimy;wodecki
Czasie, dlaczego mijasz;wodecki
La la la, la la la la la la la la;wodecki
Ci tekstylni nudziarze;wodecki
Cienka zupa, tanie wino;dżem
Daruj sobie miód;dżem
Horacy radził tak,;wodecki
chyba zwariowałem, znowu nie przyszedł nikt;dżem
Napisać mógłbym wiersz;dżem
Najlepszą z Twoich chwil;dżem
Mała suko, tylko o tym milcz, co tatuś zrobił Ci!;dżem
To ostra jazda, żaden kit;dżem
Czerwony jak cegła, rozgrzany jak piec,;dżem
Kto choć jeden kupi dziś?;dżem
Jeszcze rosną tam;wodecki
złamać strach, złamać wstyd!;dżem
- Ja, Imogeno, niestety nie mogę...;wodecki
za następnym rogiem?;wodecki
Tak bardzo chciałbym Cię usłyszeć,;dżem
Już i tak za dużo czasu tracę na sen;dżem
zastanów się..;dżem
Strach już z domu wyjść;wodecki
Uprzejmie, cichutko;wodecki
Byłaś w moim śnie;dżem
I wiary miałem mniej...;dżem
Zawsze warto być człowiekiem,;dżem
Daj mu dom, cichy kąt,;dżem
czule z dala spoziera, miłości pragnąc twej,;wodecki
Dobry świt nie budzi już tak wcześnie nas;wodecki
Zostać tu czy nie;dżem
Muszę mieć, muszę ją mieć,;dżem
Nie do wiary miał być pech;wodecki
Gdy już zapada zmierzch (zapada zmierzch);wodecki
Trudno mi się zgodzić z tym;wodecki
pokój niesie ludziom wszem,;wodecki
moją szansą był;dżem
nie wiedząc, nie;dżem
To przegrasz ją w pokera.;dżem
wspomnienia zwyczajne tak,;dżem
A przy tym nas poganiasz?;wodecki
Też swą maszynom robią test;dżem
który uwielbi imię Twoje;dżem
i z głębi chmur;wodecki
Bo już nigdy się nie zmienię,;dżem
Ilu nas tutaj wszystkich jest...;dżem
I wiewiórka zniczem rdzawym;wodecki
i z głębi chmur;wodecki
W stronę ciszy;wodecki
Tak bardzo drażni mnie (tak bardzo drażni mnie);wodecki
Pan wielkiego majestatu;wodecki
Słodki dom z piernika;wodecki
Blues Alabama, Alabama;dżem
Kiedy ciemny wiatr;dżem
Tam czarny chleb, tam czarny chleb smakuje,;dżem
Tyle dni, tyle lat była w nas;wodecki
Myśleć mi się nie chce;dżem
bujam się i broda rośnie mi;dżem
Siedzisz sam na ławce tej, poezji czytasz tom,;dżem
Wielkim ogniem berberysy;wodecki
Muszę mieć, muszę ją mieć x4;dżem
Co poradzić na to mam;dżem
Dla żółtych dziobów stu;wodecki
I boleśnie mi się zaraz robi wstyd;wodecki
wiatr pokłoni.;wodecki
Chałupy welcome to Bahama mama luz;wodecki
ukryć ciężko tak,;dżem
mijali drzwi.;wodecki
Uprzejmie, cichutko;wodecki
no bo szukałem tam Ciebie;dżem
Czuję się jak Benjamin i udaję, że śpię,;dżem
Uśpiony w tańcu czas;wodecki
Strzępków wątku babiego lata;wodecki
Chwytaj dzień,;wodecki
Na świat;wodecki
Widzisz, jesień, którą lubisz tak, naprawdę się zbliża;wodecki
Gdy ktoś przy mnie jest, może ty?;wodecki
Tutaj naprawdę nie jest tak źle;dżem
Basia, Basia, Basia, popatrz, co dla ciebie mam.;wodecki
Przed wiosną, przed latem, przed wiecznością;wodecki
twój wstaje świt,;wodecki
Czy jutro znowu się spotkamy;dżem
czegoś nam tu brak, czegoś nam tu brak;dżem
Oto malarz dziwny, który bywał tu;dżem
Że nie obrósł jakoś ciałem mit;wodecki
Basia, Basia, Basia, popatrz, co dla ciebie mam.;wodecki
Tylko Twa wiara pomoże Ci;dżem
Trudno zdusić ją,;dżem
Zarobiłem szmal i stałem się królem;dżem
Jesiennym pokropiony deszczem,;dżem
Przed nami nasz świat;wodecki
w tysiąc i pierwszą noc,;wodecki
Gdy zaczyna się upał;wodecki
Każdy dzień by inny był, lecz taki sam;dżem
cholernie zimno tym, którzy wędrują sami;dżem
Już niektórzy oglądają się niechętnie;dżem
nie zawsze całkiem dobrych;dżem
Znowu nie pamiętam nic;dżem
Słychać wielki szum;wodecki
Ciao, amore!;wodecki
Nie oglądaj się wstecz, o nie.;dżem
Wybacz Boże,;dżem
Jak rozpędzić dzikusy;wodecki
Może już nowe dziary szyć;dżem
Kochać wszystkich ludzi i pokój z sobą nieść.;dżem
I w powodzi słów;dżem
Komu niebo, jak wielka czapa;wodecki
że to tylko był , to był tylko zły sen;dżem
Wiem, że to jeszcze za mało, aby ciebie mieć,;dżem
Teraz jestem cieniem cienia;dżem
Nie kochaj się w przedmiotach,;wodecki
Hanno stembare la pioggia l'argento!;wodecki
Czemu nie jest tak;dżem
Hej, bracie w skóry obleczony;dżem
tam na detoxie musisz walczyć sam;dżem
Czasie, dlaczego odchodzisz;wodecki
wzbiła się kurzawa – dziki zwierz wypadł zza krat!;wodecki
Tam wszystko masz co trzeba,;dżem
Niech będzie tak;dżem
Jej oczy, jej usta, jej piersi, jej uda;wodecki
To nie ja;wodecki
Spotkajmy się;wodecki
Kłótnie zmieniasz w letni miód;wodecki
Już wstaje blask;wodecki
Chociaż raz, jeden raz;dżem
Karmiony pogardą i rzuconym groszem,;dżem
I z nocy zrobisz dzień;dżem
Potrząsa łbem ta bestia dzika,;wodecki
Ciao!!! Ciao!!! Ciao!!! Amore, ciao!;wodecki
Gdy śpiewam ten kuplecik,;wodecki
Prawdę musisz znać i ty:;dżem
Dlaczego już nie cieszy to, co cieszyło nas;dżem
Opadnie aby znów;wodecki
Przy ołtarzu w głównej nawie ciepłe miejsce;dżem
Gdy stare z nowym toczy bój;wodecki
Dobranoc! już dziś więcej nie będziem bawili,;wodecki
Już wszystko;wodecki
Zawsze cię za rękę trzyma;dżem
w sercach mróz, słychać ludzi wokół;dżem
La la la la la la la, la la la la la la la;wodecki
Przyjaciel zawiódł i zniknął we mgle.;dżem
Może w jesienny, mokry wieczór,;dżem
Pamiętać, zapomnieć, śmiać się czy grać;dżem
Pozwalasz nam samotnieć?;wodecki
A przy tym nas poganiasz?;wodecki
schodzi zwiedzać świat;wodecki
będzie stale nad czołem lśnić,;wodecki
W szalonym tempie trzeba żyć,;dżem
W babiego lata sieć porwało westchnienie;wodecki
Gdy już zapada zmierzch;wodecki
Czas przenosi nas z afiszy;wodecki
Podzielone na pół: radość, ból;wodecki
Zaufaj mi;dżem
dziś sentymentów nadszedł dzień;dżem
kiedyś przecież zapomnę, że;dżem
La la la, la la la la la la la la;wodecki
Może być najlepszą z Twoich chwil...;dżem
Nigdy nie jest tak źle;wodecki
Któż tajemnice ich;wodecki
Apoteozę świata w domu sobie zrób;wodecki
Czas by uczesać lasu gęsty cień;wodecki
Że drzemie we mnie zwierzę;wodecki
Kumpel zdradził mnie nie jeden;dżem
Nic nie znaczę;dżem
przeraziła się;dżem
Wiesz, kiedyś zabłądziłem w snach;dżem
By móc zaufać komuś;wodecki
Co zarobię zaraz gram;dżem
Na stole sól i plama tłusta;wodecki
I ona - urodą podobna do skrzypiec;wodecki
milczę wciąż.;dżem
Teren bardzo grząski,;wodecki
Więc urażony po sam szczyt;wodecki
Został jeszcze nadziei cień,;dżem
